"","V1","V2","V3","V4","V5","V6"
"1",0.0886777513855899,0.0815518606492478,0.129057798891528,0.0459224069675376,0.40221694378464,0.252573238321457
"2",0.019336409580312,0.733904636343661,0.024609975829488,0.0865743792573061,0.0852559876950121,0.050318611294221
"3",0.026766004415011,0.125275938189845,0.159216335540839,0.596302428256071,0.0449779249448124,0.0474613686534216
"4",0.478362573099415,0.112573099415205,0.0853801169590643,0.145906432748538,0.109941520467836,0.0678362573099415
"5",0.0428449014567267,0.0801199657240788,0.542844901456727,0.131533847472151,0.065981148243359,0.136675235646958
"6",0.130325814536341,0.175438596491228,0.19047619047619,0.220551378446115,0.167919799498747,0.115288220551378
"7",0.670494084899095,0.0567153792623521,0.14544189283229,0.0514961725817676,0.0264439805149617,0.0494084899095338
"8",0.0292946530147895,0.0898748577929465,0.085608646188851,0.0676905574516496,0.0233219567690557,0.704209328782708
"9",0.0258197779499096,0.166021172217919,0.0746191582752388,0.0815904983217144,0.61993286857733,0.0320165246578879
"10",0.0170138888888889,0.111805555555556,0.126388888888889,0.655555555555556,0.0368055555555556,0.0524305555555556
"11",0.0528205128205128,0.195897435897436,0.0943589743589744,0.0712820512820513,0.512820512820513,0.0728205128205128
"12",0.0177653108929406,0.0801776531089294,0.653108929406265,0.122954651706405,0.0303880317905563,0.0956054230949042
"13",0.0393192488262911,0.115023474178404,0.187206572769953,0.120305164319249,0.0710093896713615,0.467136150234742
"14",0.0392953929539295,0.273035230352304,0.10230352303523,0.411246612466125,0.0677506775067751,0.106368563685637
"15",0.484390735146022,0.0614300100704935,0.118831822759315,0.0704934541792548,0.118831822759315,0.146022155085599
